,M_SLP_HR_K,M_WK_HR_K,일어난 시각 - 잠에 든 시각,절대값
5715,23.0,8.0,-15.0,15.0
5716,24.0,8.0,-16.0,16.0
5717,24.0,7.0,-17.0,17.0
5718,24.0,6.0,-18.0,18.0
5719,11.0,20.0,9.0,9.0
5720,2.0,10.0,8.0,8.0
5721,1.0,9.0,8.0,8.0
5722,24.0,9.0,-15.0,15.0
5723,4.0,7.0,3.0,3.0
5724,24.0,9.0,-15.0,15.0
5725,1.0,9.0,8.0,8.0
5726,1.0,11.0,10.0,10.0
5727,24.0,8.0,-16.0,16.0
5728,1.0,8.0,7.0,7.0
5729,23.0,7.0,-16.0,16.0
5730,23.0,9.0,-14.0,14.0
5731,2.0,8.0,6.0,6.0
5732,24.0,10.0,-14.0,14.0
5733,24.0,11.0,-13.0,13.0
5734,24.0,8.0,-16.0,16.0
5735,24.0,21.0,-3.0,3.0
5736,1.0,10.0,9.0,9.0
5737,12.0,9.0,-3.0,3.0
5738,23.0,9.0,-14.0,14.0
5739,1.0,9.0,8.0,8.0
5740,22.0,7.0,-15.0,15.0
5741,24.0,9.0,-15.0,15.0
5745,1.0,6.0,5.0,5.0
5746,24.0,10.0,-14.0,14.0
5747,1.0,9.0,8.0,8.0
5752,2.0,8.0,6.0,6.0
5753,23.0,17.0,-6.0,6.0
5754,12.0,9.0,-3.0,3.0
5755,22.0,7.0,-15.0,15.0
5760,24.0,9.0,-15.0,15.0
5761,23.0,5.0,-18.0,18.0
5762,23.0,18.0,-5.0,5.0
5763,2.0,10.0,8.0,8.0
5764,3.0,7.0,4.0,4.0
5765,22.0,12.0,-10.0,10.0
5766,23.0,9.0,-14.0,14.0
5767,10.0,7.0,-3.0,3.0
5776,24.0,6.0,-18.0,18.0
5778,24.0,10.0,-14.0,14.0
5779,24.0,8.0,-16.0,16.0
5780,24.0,8.0,-16.0,16.0
5781,23.0,9.0,-14.0,14.0
5782,24.0,8.0,-16.0,16.0
5786,2.0,10.0,8.0,8.0
5789,23.0,8.0,-15.0,15.0
5791,23.0,6.0,-17.0,17.0
5792,1.0,22.0,21.0,21.0
5793,24.0,11.0,-13.0,13.0
5794,23.0,7.0,-16.0,16.0
5795,24.0,8.0,-16.0,16.0
5796,24.0,21.0,-3.0,3.0
5797,3.0,12.0,9.0,9.0
5799,23.0,8.0,-15.0,15.0
5800,22.0,9.0,-13.0,13.0
5801,23.0,6.0,-17.0,17.0
5802,1.0,11.0,10.0,10.0
5803,1.0,10.0,9.0,9.0
5804,3.0,6.0,3.0,3.0
5805,24.0,7.0,-17.0,17.0
5806,23.0,9.0,-14.0,14.0
5807,1.0,9.0,8.0,8.0
