Factors,BMI_0,Rank_BMI_0,BMI_1,Rank_BMI_1,cosine difference
I_SB_FR_2,0.7884354591369629,50,0.7600640058517456,34,0.028371453285217285
I_SB_FR_3,0.7510676383972168,68,0.7161403894424438,56,0.03492724895477295
I_SB_FR_4,0.6812173128128052,118,0.649375319480896,97,0.03184199333190918
I_SB_FR_5,0.5285918712615967,265,0.523404598236084,248,0.005187273025512695
I_SCH_ED1_1,0.5013238191604614,323,0.47659969329833984,337,0.024724125862121582
I_SCH_ED1_9999,0.8492708206176758,16,0.7826563715934753,16,0.06661444902420044
I_SCH_ED2_2,0.8309190273284912,26,0.7128334045410156,61,0.11808562278747559
I_SCH_ED2_9999,0.7186755537986755,86,0.665144681930542,85,0.053530871868133545
I_SCH_ED3_3,0.7214285135269165,84,0.6563146114349365,92,0.06511390209197998
I_SCH_ED3_9999,0.6018738746643066,171,0.582444965839386,168,0.019428908824920654
I_SCH_ED4_4,0.5620846748352051,210,0.4541802704334259,388,0.10790440440177917
I_SCH_ED4_9999,0.6058152914047241,166,0.5386630892753601,217,0.06715220212936401
I_SCH_ED5_5,0.5859677791595459,183,0.4792795777320862,327,0.10668820142745972
I_SCH_ED5_9999,0.6180168986320496,160,0.5616303086280823,187,0.056386590003967285
I_SCH_TRT_1,0.8335517644882202,24,0.7831568717956543,15,0.05039489269256592
I_SCH_TRT_2,0.7638239860534668,59,0.726163387298584,50,0.03766059875488281
M_SAD_1,0.8466039896011353,19,0.7507690787315369,38,0.09583491086959839
M_SAD_2,0.6641805171966553,131,0.7397458553314209,42,0.07556533813476562
M_SLP_EN_1,0.727500319480896,82,0.5719858407974243,183,0.15551447868347168
M_SLP_EN_2,0.79778653383255,47,0.6734479665756226,79,0.12433856725692749
M_SLP_EN_3,0.7993873953819275,46,0.7201509475708008,54,0.07923644781112671
M_SLP_EN_4,0.7452168464660645,74,0.723493218421936,52,0.021723628044128418
M_SLP_EN_5,0.5819723010063171,187,0.6634215712547302,87,0.08144927024841309
M_STR_1,0.5277702212333679,266,0.614906370639801,135,0.0871361494064331
M_STR_2,0.6567864418029785,137,0.6464623808860779,104,0.010324060916900635
M_STR_3,0.6969084739685059,105,0.5797847509384155,171,0.11712372303009033
M_STR_4,0.7096623182296753,93,0.5239953994750977,247,0.18566691875457764
M_STR_5,0.6684780716896057,128,0.47948676347732544,326,0.18899130821228027
M_SUI_ATT_1,0.8404209613800049,21,0.771068811416626,25,0.0693521499633789
M_SUI_ATT_2,0.41960829496383667,499,0.5512540936470032,203,0.1316457986831665
M_SUI_CON_1,0.8287909030914307,27,0.7402693629264832,41,0.08852154016494751
M_SUI_CON_2,0.5383063554763794,239,0.6677243113517761,82,0.12941795587539673
M_SUI_PLN_1,0.856552243232727,13,0.7748414278030396,23,0.0817108154296875
M_SUI_PLN_2,0.48758018016815186,352,0.6058210134506226,145,0.1182408332824707
O_BR_FQ_1,0.4687974750995636,390,0.5296639204025269,233,0.06086644530296326
O_BR_FQ_10,0.719213604927063,85,0.6397585868835449,115,0.07945501804351807
O_BR_FQ_2,0.6735539436340332,123,0.6606007814407349,90,0.01295316219329834
O_BR_FQ_3,0.8097917437553406,39,0.7318100929260254,46,0.07798165082931519
O_BR_FQ_4,0.7949796319007874,49,0.7070977687835693,64,0.08788186311721802
O_BR_FQ_5,0.7119338512420654,91,0.6350983381271362,120,0.0768355131149292
O_BR_FQ_6,0.5440424680709839,232,0.5815461874008179,169,0.037503719329833984
O_BR_FQ_7,0.540068507194519,238,0.5780574083328247,175,0.037988901138305664
O_BR_FQ_8,0.5821224451065063,186,0.4810032844543457,320,0.10111916065216064
O_BR_FQ_9,0.47443336248397827,376,0.3921048641204834,519,0.08232849836349487
O_BR_SLP_1,0.8119982481002808,38,0.7296434640884399,47,0.08235478401184082
O_BR_SLP_2,0.6499704122543335,142,0.6940988302230835,66,0.04412841796875
O_BR_SLP_3,0.48806846141815186,351,0.524203360080719,246,0.03613489866256714
O_BR_S_1,0.7796793580055237,54,0.6916857957839966,68,0.0879935622215271
O_BR_S_2,0.7975216507911682,48,0.7221442461013794,53,0.07537740468978882
O_BR_S_3,0.8083704113960266,41,0.7644636034965515,29,0.0439068078994751
